best,middle,worst
4938,8738,14401
1019,3196,5400
888,2736,4593
825,2452,4674
845,3022,5296
800,2580,4898
1031,3024,5428
1123,3571,6256
805,2815,6034
807,2816,6393
1495,3575,7427
810,2966,7438
814,3086,8707
1102,3562,9554
1129,3533,9799
1123,4144,10501
816,3396,10412
835,3408,11240
826,3511,11818
826,3828,12134
825,4890,12627
842,3808,12926
836,3751,13275
828,3937,13653
826,4868,13738
824,4512,14386
807,5124,14718
824,4603,15139
829,4832,15464
819,5482,15188
810,5268,15865
831,4997,16218
1482,5858,17552
878,6828,16579
820,5648,17274
818,6120,18668
827,6453,18294
834,7206,18468
830,6666,22713
822,7864,19149
806,7804,19659
1638,8983,22755
807,8319,20299
825,8504,20932
827,8933,21577
807,9017,22084
807,9864,28152
842,9558,22410
823,11993,40851
828,10251,22950
813,10753,23145
830,10691,23490
805,11511,29572
805,11717,24341
806,15906,46596
810,11709,25057
819,12426,25323
2152,16586,50535
826,12693,26027
806,13305,26063
820,12918,35692
805,13676,27199
816,13939,27757
908,16545,28419
808,17077,36843
827,14635,34790
1052,17984,34866
1254,20020,39738
1214,19632,38683
870,16258,31222
1010,18690,35462
924,17719,35660
819,15997,33601
810,15818,32169
1146,16990,34151
924,19156,42397
1130,20699,43094
1042,21692,45222
834,17675,41496
843,20018,45381
949,22610,48123
1080,24664,52106
891,25126,54824
1143,20887,44474
809,19061,38929
1110,22134,40799
1051,19753,44116
1076,22402,51926
968,27038,58933
1127,26769,50598
983,20271,42229
829,20128,40421
832,20431,40519
804,20015,40260
804,20555,40492
824,21958,53631
1024,26682,59088
1060,25664,53801
905,23808,46364
916,24217,54274
1043,25724,52267
949,27679,62934
921,24249,45432
811,23360,44854
803,22994,48068
812,22915,46906
803,23535,46115
813,23826,46290
808,23726,48628
804,23895,49853
804,24533,47945
815,24604,50447
804,24445,64287
835,25081,50203
813,25775,54462
804,25154,50621
817,25349,49428
803,26708,53852
827,25450,52025
15938,28852,54906
1220,27951,54123
806,28172,58725
847,27609,60286
1006,35430,56379
809,26864,69552
804,28054,68233
828,34072,69904
811,31479,65126
872,32496,57606
804,27744,55736
804,27990,55165
828,31518,72996
811,28520,57155
843,30684,60460
804,30266,61689
803,29862,76773
804,30377,61137
804,32134,61154
808,30464,61171
804,30227,63116
814,35038,66984
830,32974,64385
923,31295,62663
804,46500,66062
804,34362,66839
804,29816,68946
9507,35441,95777
840,33077,65396
844,32115,66674
805,37329,67646
804,32640,85986
824,35298,107147
821,34974,93823
10799,37591,88532
1108,44954,137541
804,54006,78116
890,35341,78015
9167,40021,104179
1179,47846,85950
816,44547,100843
1024,38228,82532
889,42292,79858
804,34287,90790
856,36179,77995
823,37254,91179
804,34934,75956
823,36750,78091
863,49055,99168
804,39675,123232
829,47257,126287
804,38263,76769
805,44280,120596
804,36277,76666
1124,46857,88424
1123,63228,197220
958,54710,117546
973,81111,190971
900,58115,173746
839,39079,78601
965,48815,133397
